mall_code,mall_name,store_count
AYY,Central Ayutthaya,266
BNA,Central Bangna,250
CBR,Central Chonburi,661
CMA,Central Chiangmai Airport,640
CMI,Central Chiangmai,1217
CRI,Central Chiangrai,727
CTR,Central Chanthaburi,229
CTW,centralwOrld,2027
CWG,Central Westgate,1180
CWN,Central Chaengwattana,421
ESP,Esplanade Ratchada,192
HYI,Central Hatyai,479
KBI,Central Krabi,214
KKC,Central Khonkaen Campus,1
KKN,Central Khonkaen,434
LPG,Central Lampang,214
LPO,Central Ladprao,1264
MHC,Central Mahachai,283
NKM,Central Korat,664
NKR,Central Nakhon Si,310
NKT,Central Nakhonpathom,264
NKW,Central Nakhonsawan,620
PDT,Central Eastville,349
PK2,Central Phuket Floresta,1154
PKO,Central Pinklao,1119
PKT,Central Phuket Festival,351
PNL,Central Phitsanulok,257
PTB,Central Pattaya,956
PTC,Central Marina Outlet,287
RCP,Central Westville,604
RID,Central Ramindra,308
RM2,Central Rama 2,973
RM3,Central Rama 3,827
RM4,Central Park,405
RM9,Central Rama 9,1331
RTB,Central Northville,307
RYG,Central Rayong,329
SLY,Central Salaya,308
SMI,Central Samui,440
SRC,Central Si Racha,380
SRT,Central Suratthani,263
SVB,Central Village Outlet,169
UBN,Central Ubon,260
UDN,Central Udon,835
