ym,กรุงเทพมหานครและปริมณฑล,ข้าราชการ/รัฐวิสาหกิจ/พนักงานของรัฐ,นักธุรกิจ/เจ้าของกิจการ/เจ้าของแผงค้า,นักศึกษา,ปัจจุบัน,พนักงานบริษัท,ภาคกลาง,ภาคตะวันออกเฉียงเหนือ,ภาคเหนือ,ภาคใต้,รวม,รับจ้างบริการ/อาชีพบริการอิสระ,อนาคต,เกษตรกร,ไม่ได้ทำงาน/บำนาญ
2025-06,43.6,50.2,47.6,48.6,37.8,45.9,45.1,50.4,45.5,47.1,46.7,44.4,52.6,46.7,44.9
2025-07,45.9,51.4,49.3,49.6,39.7,46.9,46.1,53.5,46.7,47.9,48.4,47.0,54.2,49.0,49.3
2025-08,46.0,52.0,49.0,48.9,39.2,47.5,46.7,50.4,45.8,48.8,47.9,46.5,53.7,46.4,45.8
2025-09,49.9,53.3,50.5,52.3,39.6,49.1,48.8,51.9,46.9,48.7,49.4,47.5,56.0,48.1,48.5
2025-10,56.0,55.1,53.0,53.1,40.9,50.0,48.8,52.9,48.6,51.1,50.9,49.2,57.6,49.4,49.8
2025-11,61.1,56.3,53.8,50.2,42.6,51.7,52.4,50.6,50.7,49.9,51.8,49.8,58.0,49.9,49.7
2025-12,59.4,55.3,53.3,52.0,43.2,50.9,49.4,53.0,51.2,50.5,51.8,49.3,57.6,52.1,52.8
2026-01,58.3,56.5,53.7,50.8,43.9,52.4,50.9,53.5,52.4,50.8,52.6,50.3,58.4,51.9,52.8
2026-02,57.2,57.4,53.9,51.7,43.3,52.5,50.9,54.3,52.1,51.5,53.0,50.6,59.4,52.6,52.0
2026-03,44.1,49.4,47.2,41.1,36.8,45.2,43.9,48.3,44.4,45.2,45.5,43.6,51.2,44.4,45.8
2026-04,49.7,48.9,46.8,43.1,35.0,45.5,43.1,46.8,43.2,44.5,45.0,42.9,51.7,42.8,45.3
2026-05,52.6,53.8,50.7,47.3,38.7,48.7,46.9,51.1,48.7,48.7,49.2,46.7,56.3,48.6,49.7
2026-06,49.4,53.9,52.1,52.7,40.2,49.2,49.7,51.3,49.5,50.1,50.2,48.2,56.8,49.1,52.2
